source,target,value
2017 presidential debate,Society,7
5G,AR,1
5G,Artificial Intelligence,1
5G,Mobile,1
5G,NFV,1
5G,Tech,1
5G,VR,1
90년대,Interests,5
90년대,한국댄스음악,5
AR,Artificial Intelligence,1
AR,Mobile,1
AR,NFV,1
AR,Tech,1
AR,VR,1
Ahn,Avatar,1
Ahn Hee Jung,Society,4
Album,EDM,1
Album,Interests,1
Album,music,1
Anaconda,IDE,1
Anaconda,Tech,1
Android,Tech,2
Big-data,Tech,1
Boundary of the ball,Gundam,1
Boundary of the ball,Interests,1
Boundary of the ball,animation,1
Brexit,Artificial Intelligence,1
Brexit,Samsung Electronics,1
Brexit,Shared data,1
Brexit,Society,1
Brexit,Uver,1
CLI,Tech,2
CLI editor,Tech,1
CLI editor,nano,1
Car maintenance,car wash,1
Career,CV,3
Career,Coding skill,1
Career,Employment,1
Career,Interested company,7
Career,Resume,3
Career,Venture,1
Career,company,1
Career,developer,1
Career,취업(Job search),1
Chinese,Excellence of Hangul,1
Chinese,Hangul,1
Chinese,Hun-Min-Jeong-Eum,1
Chinese,Lang,1
Chinese,Learning method,5
Choi Bae-geun,Artificial Intelligence,1
Choi Bae-geun,Brexit,1
Choi Bae-geun,Samsung Electronics,1
Choi Bae-geun,Shared data,1
Choi Bae-geun,Society,1
Choi Bae-geun,Uver,1
Choppy rice,Interests,11
Class,Inheritance,2
Class,Tech,2
Clean the house,Interests,13
Code Geass,Boundary of the ball,1
Code Geass,Full metal panic,1
Code Geass,Gundam,1
Code Geass,Society,1
Coding skill,Tech,5
Collect,Python,1
Collect,Tech,1
Comfort women,Mitsubishi Heavy Industries,1
Comfort women,Society,1
Comfort women,sex slave,1
Could,Ahn,1
Could,Avatar,1
Could,Society,1
Css,HTML,15
Css,Tech,15
D3.js,Dimple.js,1
D3.js,Source code,1
D3.js,Tech,18
D3.js,Visualization,4
D3.js,bubble,2
DB,Tech,1
Dance,Interests,23
Dance,TVXQ,2
Data collection,Tech,1
Data science,Data collection,1
Data science,Hans Rosling,1
Data science,Tech,26
Data science,Visualization,3
Django,Classic Annie,1
Django,Lang,1
Django,PostgreSQL,1
Django,Spanish,1
Django,TDD,1
Django,Tech,9
Django,Ubuntu,1
Docker,Container,4
Docker,Tech,4
Documentary,Interests,1
Documentary,Iran,1
Documentary evidence,Japanese military slave,1
Documentary evidence,Sex slave,1
Documentary evidence,Society,1
Dool Kim Yong Ok,Christian,2
Dool Kim Yong Ok,Exquisite,1
Dool Kim Yong Ok,Lang,1
Dool Kim Yong Ok,Language learning method,1
Dool Kim Yong Ok,Oriental Classics,4
Dool Kim Yong Ok,education,1
Drinking tolerance,Interests,1
Drupal,Tech,3
E-government,Open data,2
E-government,Republic of Korea,2
E-government,Tech,2
England,Arab,1
England,movie,1
English,Lang,28
English,Lincoln,1
English,Live broadcasting,1
English,news,1
English,reading,2
English,학습(學習),9
English lyrics,Interests,1
English lyrics,animation,1
Europe,English,1
Europe,Lang,1
European inclination analysis,Interests,1
Excellence of Hangul,Hangul,1
Excellence of Hangul,Hun-Min-Jeong-Eum,1
Excellence of Hangul,Lang,1
Exercise,Crossfit,1
Exercise,Interests,2
Exercise,Society,1
Exercise,health,1
Exquisite,Lang,1
Exquisite,Language learning method,2
Exquisite,Oriental Classics,1
Exquisite,education,1
Food,Interests,1
Foreign life,Interests,2
Foreign reaction,German woman,1
Foreign reaction,Interests,44
Foreign reaction,Konglish,1
Foreign reaction,Korea,1
Foreign reaction,Korea Mathematics Test,1
Foreign reaction,Korean culture,1
Foreign reaction,Korean is a genius,1
Foreign reaction,Korean singer,2
Foreign reaction,Pansori,1
Foreign reaction,What you need to learn,1
Foreign reaction,language,1
Foreign reaction,look,5
Foreign reaction,music,1
Foreign reaction,sex,1
Free proxy,Tech,3
Full metal panic,Boundary of the ball,1
Full metal panic,Gundam,1
German Press Review,Candle rally,1
German woman,Interests,4
Google Cloud Platform,Tech,2
Google-Cloud-Platform,Container,1
Google-Cloud-Platform,Django,1
Google-Cloud-Platform,Google Cloud Platform,1
Google-Cloud-Platform,PostgreSQL,1
Google-Cloud-Platform,Python,1
Google-Cloud-Platform,Tech,8
Google-Cloud-Platform,deploy,1
Gundam Seed,Interests,1
Gundam Seed,animation,1
Gundam Seed Destiny,Interests,2
Gundam Seed Destiny,animation,1
Gundam Seed Destiny,live,2
Gundam Seed Destiny,music,1
HTML,Tech,15
Hacking,Tech,2
Hans Rosling,Tech,1
Hans Rosling,Visualization,1
High school tuition,Interests,1
High school tuition,Spain,1
History/Culture,Brazil,1
History/Culture,Interests,1
History/Culture,Korean wave,1
History/Culture,Spain,2
Hopi,Hangul,1
Hopi,Hun-Min-Jeong-Eum,1
Hopi,Identity,1
Hopi,Lang,1
Hopi,butane,1
How to Become a Data Scientist,Tech,2
Hun-Min-Jeong-Eum,Hangul,19
Hun-Min-Jeong-Eum,Identity,1
Hun-Min-Jeong-Eum,Lang,19
